,Neighborhood
0,Andheri
1,Anushakti Nagar
2,Baiganwadi
3,Bandra
4,Bhandup
5,Borivali
6,Charkop
7,Chembur
8,Dahisar
9,Devipada
10,Dombivli
11,Eastern Suburbs (Mumbai)
12,Ghatkopar
13,Goregaon
14,Grant Road
15,Jogeshwari
16,Juhu
17,Kalyan
18,Kandivali
19,Kanjurmarg
20,Kausa
21,Kurla
22,Mahavir Nagar (Kandivali)
23,Mankhurd
24,"Matharpacady, Mumbai"
25,Mira Road
26,Mogra Village
27,Mulund
28,Mumbra
29,Pestom sagar
30,Seven Bungalows
31,Shil Phata
32,"Sion, Mumbai"
33,Thakur village
34,Tilak Nagar (Mumbai)
35,Vashi
36,Vikhroli
37,Wadala
38,Western Suburbs (Mumbai)
39,Worli
